,ts,datetime,current,temperature,device_id,parsed_datetime,recon_error,anomaly_score,anomaly_current,current_anomaly_reason,current_severity,anomaly_temperature,temperature_anomaly_reason,temperature_severity,combined_severity,anomaly_threshold,anomaly_percentile,anomaly_isolation_forest,anomaly_zscore,anomaly_ensemble,anomaly_ensemble_smoothed
15937,1760422031.0,2025-10-14T11:37:11+05:30,0.0913,69.44,d6,2025-10-14 11:37:11+05:30,52.10009847217824,-0.014882825979301788,0,,normal,1,Critical high temp: 69.44°C (threshold: 68.40°C); Rapid temp change: 16.11°C/sample,critical,critical,0,0,0,0,1,1
15938,1760422032.0,2025-10-14T11:37:12+05:30,0.1043,70.0,d6,2025-10-14 11:37:12+05:30,42.34443751335819,-0.014891304649786889,0,,normal,1,Critical high temp: 70.00°C (threshold: 68.40°C),critical,critical,0,0,0,0,1,1
15940,1760422034.0,2025-10-14T11:37:14+05:30,0.0913,69.44,d6,2025-10-14 11:37:14+05:30,52.14169404306573,-0.01488278982848221,0,,normal,1,Critical high temp: 69.44°C (threshold: 68.40°C); Rapid temp change: 16.11°C/sample,critical,critical,0,0,0,0,1,1
15944,1760422038.0,2025-10-14T11:37:18+05:30,0.0903,68.89,d6,2025-10-14 11:37:18+05:30,49.00342611963617,-0.014885517305352206,0,,normal,1,Critical high temp: 68.89°C (threshold: 68.40°C); Rapid temp change: 15.56°C/sample,critical,critical,0,0,0,0,1,1
15946,1760422040.0,2025-10-14T11:37:20+05:30,0.1513,69.44,d6,2025-10-14 11:37:20+05:30,51.00482885668442,-0.014883777880992644,0,,normal,1,Critical high temp: 69.44°C (threshold: 68.40°C); Rapid temp change: 16.11°C/sample,critical,critical,0,0,0,0,1,1
15950,1760422044.0,2025-10-14T11:37:24+05:30,0.1093,68.89,d6,2025-10-14 11:37:24+05:30,49.425343730505595,-0.014885150615651785,0,,normal,1,Critical high temp: 68.89°C (threshold: 68.40°C); Rapid temp change: 15.56°C/sample,critical,critical,0,0,0,0,1,1
15951,1760422045.0,2025-10-14T11:37:25+05:30,0.1583,68.89,d6,2025-10-14 11:37:25+05:30,37.38608264384512,-0.014895613968987732,0,,normal,1,Critical high temp: 68.89°C (threshold: 68.40°C),critical,critical,0,0,0,0,1,1
15952,1760422046.0,2025-10-14T11:37:26+05:30,0.1943,69.44,d6,2025-10-14 11:37:26+05:30,39.791298928055554,-0.014893523589216922,0,,normal,1,Critical high temp: 69.44°C (threshold: 68.40°C),critical,critical,0,0,0,0,1,1
15953,1760422047.0,2025-10-14T11:37:27+05:30,0.1163,69.44,d6,2025-10-14 11:37:27+05:30,41.71420290466739,-0.014891852388335609,0,,normal,1,Critical high temp: 69.44°C (threshold: 68.40°C),critical,critical,0,0,0,0,1,1
15958,1760422052.0,2025-10-14T11:37:32+05:30,0.1703,68.89,d6,2025-10-14 11:37:32+05:30,46.885050172757175,-0.014887358391434735,0,,normal,1,Critical high temp: 68.89°C (threshold: 68.40°C); Rapid temp change: 15.56°C/sample,critical,critical,0,0,0,0,1,1
15960,1760422054.0,2025-10-14T11:37:34+05:30,0.1063,68.89,d6,2025-10-14 11:37:34+05:30,49.207544180309135,-0.01488533990581118,0,,normal,1,Critical high temp: 68.89°C (threshold: 68.40°C); Rapid temp change: 15.56°C/sample,critical,critical,0,0,0,0,1,1
15969,1760422063.0,2025-10-14T11:37:43+05:30,0.1203,68.89,d6,2025-10-14 11:37:43+05:30,48.350937826455166,-0.014886084384636393,0,,normal,1,Critical high temp: 68.89°C (threshold: 68.40°C); Rapid temp change: 15.56°C/sample,critical,critical,0,0,0,0,1,1
15992,1760422086.0,2025-10-14T11:38:06+05:30,0.2033,68.89,d6,2025-10-14 11:38:06+05:30,47.53723738270851,-0.014886791573822774,0,,normal,1,Critical high temp: 68.89°C (threshold: 68.40°C); Rapid temp change: 15.56°C/sample,critical,critical,0,0,0,0,1,1
15997,1760422091.0,2025-10-14T11:38:11+05:30,0.1443,69.44,d6,2025-10-14 11:38:11+05:30,51.378209044305144,-0.014883453375293863,0,,normal,1,Critical high temp: 69.44°C (threshold: 68.40°C); Rapid temp change: 16.11°C/sample,critical,critical,0,0,0,0,1,1
15998,1760422092.0,2025-10-14T11:38:12+05:30,0.1253,69.44,d6,2025-10-14 11:38:12+05:30,40.57205092572915,-0.014892845035611297,0,,normal,1,Critical high temp: 69.44°C (threshold: 68.40°C),critical,critical,0,0,0,0,1,1
15999,1760422093.0,2025-10-14T11:38:13+05:30,0.1383,70.0,d6,2025-10-14 11:38:13+05:30,42.42608769094013,-0.014891233687403747,0,,normal,1,Critical high temp: 70.00°C (threshold: 68.40°C),critical,critical,0,0,0,0,1,1
16000,1760422094.0,2025-10-14T11:38:14+05:30,0.2073,70.0,d6,2025-10-14 11:38:14+05:30,41.69608154686545,-0.014891868137655126,0,,normal,1,Critical high temp: 70.00°C (threshold: 68.40°C),critical,critical,0,0,0,0,1,1
16005,1760422100.0,2025-10-14T11:38:20+05:30,0.1483,68.89,d6,2025-10-14 11:38:20+05:30,48.184700446730574,-0.014886228861978412,0,,normal,1,Critical high temp: 68.89°C (threshold: 68.40°C); Rapid temp change: 15.56°C/sample,critical,critical,0,0,0,0,1,1
16007,1760422102.0,2025-10-14T11:38:22+05:30,0.1823,69.44,d6,2025-10-14 11:38:22+05:30,50.88449391512181,-0.014883882464405461,0,,normal,1,Critical high temp: 69.44°C (threshold: 68.40°C); Rapid temp change: 16.11°C/sample,critical,critical,0,0,0,0,1,1
16009,1760422104.0,2025-10-14T11:38:24+05:30,0.2043,69.44,d6,2025-10-14 11:38:24+05:30,49.96062799759777,-0.014884685398693582,0,,normal,1,Critical high temp: 69.44°C (threshold: 68.40°C); Rapid temp change: 16.11°C/sample,critical,critical,0,0,0,0,1,1
16010,1760422105.0,2025-10-14T11:38:25+05:30,0.1093,68.89,d6,2025-10-14 11:38:25+05:30,39.68197294469794,-0.014893618604715336,0,,normal,1,Critical high temp: 68.89°C (threshold: 68.40°C),critical,critical,0,0,0,0,1,1
16011,1760422106.0,2025-10-14T11:38:26+05:30,0.1303,68.89,d6,2025-10-14 11:38:26+05:30,38.42418441469383,-0.014894711752020359,0,,normal,1,Critical high temp: 68.89°C (threshold: 68.40°C),critical,critical,0,0,0,0,1,1
16472,1760186589.0,2025-10-11T18:13:09+05:30,0.0749,71.67,d7,2025-10-11 18:13:09+05:30,52.43743035907063,-0.014882532803275566,0,,normal,1,Critical high temp: 71.67°C (threshold: 68.40°C),critical,critical,0,0,0,0,1,1
16482,1760186599.0,2025-10-11T18:13:19+05:30,0.0959,71.11,d7,2025-10-11 18:13:19+05:30,61.31709348775862,-0.014874815464798487,0,,normal,1,Critical high temp: 71.11°C (threshold: 68.40°C); Rapid temp change: 17.78°C/sample,critical,critical,0,1,0,0,1,1
16483,1760186600.0,2025-10-11T18:13:20+05:30,0.0629,71.11,d7,2025-10-11 18:13:20+05:30,48.00788111472806,-0.014886382536122867,0,,normal,1,Critical high temp: 71.11°C (threshold: 68.40°C),critical,critical,0,0,0,0,1,1
