"ts","current","datetime","temperature"
"1759231028","0.6434","2025-09-30T16:47:08+05:30","53.33"
"1759754867","0.7479","2025-10-06T18:17:47+05:30","60.56"
"1759494678","0.5319","2025-10-03T18:01:18+05:30","53.33"
"1759231108","0.2144","2025-09-30T16:48:28+05:30","63.89"
"1759494822","0.7749","2025-10-03T18:03:42+05:30","53.33"
"1759928223","1.04695","2025-10-08T18:27:03+05:30","62.22"
"1758797066","0.01705","2025-09-25T16:14:26+05:30","53.33"
"1759927684","0.74595","2025-10-08T18:18:04+05:30","53.33"
"1759230875","0.4794","2025-09-30T16:44:35+05:30","53.33"
"1759754914","0.8899","2025-10-06T18:18:34+05:30","53.33"
"1759755039","0.3449","2025-10-06T18:20:39+05:30","61.67"
"1758797135","'-0.01395","2025-09-25T16:15:35+05:30","53.33"
"1759494465","0.8469","2025-10-03T17:57:45+05:30","53.33"
"1759231066","0.5184","2025-09-30T16:47:46+05:30","53.33"
"1759928253","0.42195","2025-10-08T18:27:33+05:30","62.22"
"1758797687","0.04005","2025-09-25T16:24:47+05:30","65"
"1759754844","0.8669","2025-10-06T18:17:24+05:30","53.33"
"1759754660","0.8039","2025-10-06T18:14:20+05:30","60"
"1759494608","0.8159","2025-10-03T18:00:08+05:30","66.11"
"1759494820","0.4399","2025-10-03T18:03:40+05:30","67.78"
"1759494368","0.8339","2025-10-03T17:56:08+05:30","53.33"
"1759928129","0.47695","2025-10-08T18:25:29+05:30","61.67"
"1759928069","0.91695","2025-10-08T18:24:29+05:30","53.33"
"1759928003","0.79195","2025-10-08T18:23:23+05:30","61.11"
"1759754649","0.3569","2025-10-06T18:14:09+05:30","60.56"
"1759231096","0.7074","2025-09-30T16:48:16+05:30","53.33"
"1759494673","0.7819","2025-10-03T18:01:13+05:30","67.22"
"1759754652","0.4659","2025-10-06T18:14:12+05:30","53.33"
"1758797011","'-0.02895","2025-09-25T16:13:31+05:30","53.33"
"1758797214","'-0.00895","2025-09-25T16:16:54+05:30","53.33"
"1758797085","'-0.03895","2025-09-25T16:14:45+05:30","53.33"
"1759494808","0.8369","2025-10-03T18:03:28+05:30","53.33"
"1759231109","0.6814","2025-09-30T16:48:29+05:30","63.89"
"1759754751","0.5479","2025-10-06T18:15:51+05:30","53.33"
"7","0.801","1970-01-01T00:00:07+05:30","53.33"
"1759754919","0.6799","2025-10-06T18:18:39+05:30","53.33"
"1759230971","0.6354","2025-09-30T16:46:11+05:30","53.33"
"1759927747","0.55995","2025-10-08T18:19:07+05:30","53.33"
"1759755077","0.7019","2025-10-06T18:21:17+05:30","53.33"
"1759927825","0.63095","2025-10-08T18:20:25+05:30","53.33"
"1759755030","0.4319","2025-10-06T18:20:30+05:30","53.33"
"1758797292","'-0.00295","2025-09-25T16:18:12+05:30","53.33"
"1758797562","0.02505","2025-09-25T16:22:42+05:30","53.33"
"1759494890","0.8989","2025-10-03T18:04:50+05:30","53.33"
"1759755130","0.6979","2025-10-06T18:22:10+05:30","53.33"
"1759927763","0.90295","2025-10-08T18:19:23+05:30","53.33"
"1759754823","0.4729","2025-10-06T18:17:03+05:30","53.33"
"1759494773","0.8179","2025-10-03T18:02:53+05:30","53.33"
"1758797190","0.00005","2025-09-25T16:16:30+05:30","53.33"
"1758797683","0.04405","2025-09-25T16:24:43+05:30","63.89"
"1759927882","0.46995","2025-10-08T18:21:22+05:30","61.11"
"1759494657","0.9009","2025-10-03T18:00:57+05:30","53.33"
"1759494839","0.9319","2025-10-03T18:03:59+05:30","53.33"
"1759927904","0.59795","2025-10-08T18:21:44+05:30","53.33"
"1759494849","0.9919","2025-10-03T18:04:09+05:30","53.33"
"1758797197","'-0.11895","2025-09-25T16:16:37+05:30","53.33"
"1759928157","0.45595","2025-10-08T18:25:57+05:30","53.33"
"1759494788","0.5399","2025-10-03T18:03:08+05:30","53.33"
"1759754917","0.3639","2025-10-06T18:18:37+05:30","61.67"
"1759928143","0.66095","2025-10-08T18:25:43+05:30","62.22"
"1758797714","0.08105","2025-09-25T16:25:14+05:30","53.33"
"1759754488","0.8499","2025-10-06T18:11:28+05:30","53.33"
"1759494703","0.8029","2025-10-03T18:01:43+05:30","53.33"
"1758796937","0.07505","2025-09-25T16:12:17+05:30","60.56"
"1758797758","0.04805","2025-09-25T16:25:58+05:30","64.44"
"1759755027","0.5109","2025-10-06T18:20:27+05:30","53.33"
"1758797689","0.06105","2025-09-25T16:24:49+05:30","53.33"
"1759754550","0.4699","2025-10-06T18:12:30+05:30","53.33"
"1759927840","0.50395","2025-10-08T18:20:40+05:30","53.33"
"1759494622","0.9949","2025-10-03T18:00:22+05:30","53.33"
"1758796904","0.05305","2025-09-25T16:11:44+05:30","60.56"
"1759928055","0.45995","2025-10-08T18:24:15+05:30","53.33"
"1759754487","0.4739","2025-10-06T18:11:27+05:30","60"
"1759754582","0.4749","2025-10-06T18:13:02+05:30","60.56"
"1758800911","'-0.1198","2025-09-25T11:48:31+05:30","53.33"
"1758797138","'-0.00995","2025-09-25T16:15:38+05:30","62.22"
"1759230989","0.2914","2025-09-30T16:46:29+05:30","60.56"
"1759927945","0.56695","2025-10-08T18:22:25+05:30","53.33"
"1759928091","1.00995","2025-10-08T18:24:51+05:30","53.33"
"1758797673","0.07605","2025-09-25T16:24:33+05:30","64.44"
"1758796953","0.03105","2025-09-25T16:12:33+05:30","53.33"
"1759927749","0.65295","2025-10-08T18:19:09+05:30","53.33"
"1759754922","0.3729","2025-10-06T18:18:42+05:30","60.56"
"1759928037","0.71195","2025-10-08T18:23:57+05:30","61.67"
"1759494647","0.8479","2025-10-03T18:00:47+05:30","53.33"
"1758797520","0.01405","2025-09-25T16:22:00+05:30","53.33"
"1759754583","0.4549","2025-10-06T18:13:03+05:30","60.56"
"1758797448","'-0.00195","2025-09-25T16:20:48+05:30","53.33"
"1758797143","'-0.02995","2025-09-25T16:15:43+05:30","62.22"
"1759494601","0.4609","2025-10-03T18:00:01+05:30","53.33"
"1758797528","0.02805","2025-09-25T16:22:08+05:30","64.44"
"47","'-1.15","1970-01-01T00:00:47+05:30","53.33"
"1759755116","0.7069","2025-10-06T18:21:56+05:30","53.33"
"1759754848","0.4369","2025-10-06T18:17:28+05:30","53.33"
"1759754941","0.3629","2025-10-06T18:19:01+05:30","61.67"
"1758797349","'-0.00395","2025-09-25T16:19:09+05:30","53.33"
"1759928088","0.42095","2025-10-08T18:24:48+05:30","61.67"
"1758797205","0.05905","2025-09-25T16:16:45+05:30","53.33"
"1758797152","'-0.00595","2025-09-25T16:15:52+05:30","62.22"
"1759927956","0.46995","2025-10-08T18:22:36+05:30","53.33"
"1759754643","0.5739","2025-10-06T18:14:03+05:30","53.33"
"1759928115","0.85195","2025-10-08T18:25:15+05:30","53.33"
"1758797564","0.06905","2025-09-25T16:22:44+05:30","53.33"
"1759231200","0.2404","2025-09-30T16:50:00+05:30","53.33"
"1759927976","0.94895","2025-10-08T18:22:56+05:30","53.33"
"1759231079","0.2824","2025-09-30T16:47:59+05:30","53.33"
"1758797774","0.07505","2025-09-25T16:26:14+05:30","53.33"
"1759754474","0.7919","2025-10-06T18:11:14+05:30","53.33"
"1759928050","0.59795","2025-10-08T18:24:10+05:30","53.33"
"1759494391","0.6689","2025-10-03T17:56:31+05:30","53.33"
"1759754725","0.4019","2025-10-06T18:15:25+05:30","60.56"
"1759754874","0.6859","2025-10-06T18:17:54+05:30","53.33"
"1759927784","0.82795","2025-10-08T18:19:44+05:30","53.33"
"1759754688","0.3869","2025-10-06T18:14:48+05:30","53.33"
"1758797615","0.04305","2025-09-25T16:23:35+05:30","53.33"
"1758797075","'-0.01995","2025-09-25T16:14:35+05:30","53.33"
"1759494750","0.8309","2025-10-03T18:02:30+05:30","53.33"
"1759230977","0.3054","2025-09-30T16:46:17+05:30","53.33"
"1759754886","0.4819","2025-10-06T18:18:06+05:30","61.67"
"1759754683","0.8519","2025-10-06T18:14:43+05:30","53.33"
"1759754472","0.5849","2025-10-06T18:11:12+05:30","60"
"1759494943","0.4219","2025-10-03T18:05:43+05:30","68.89"
"1759494418","0.3559","2025-10-03T17:56:58+05:30","53.33"
"1759927859","0.51095","2025-10-08T18:20:59+05:30","53.33"
"1759494771","0.5109","2025-10-03T18:02:51+05:30","67.78"
"1759927670","0.43395","2025-10-08T18:17:50+05:30","59.44"
"1759928164","0.58695","2025-10-08T18:26:04+05:30","62.22"
"1758797183","'-0.00095","2025-09-25T16:16:23+05:30","53.33"
"1758797734","0.06505","2025-09-25T16:25:34+05:30","53.33"
"1758797145","0.00605","2025-09-25T16:15:45+05:30","53.33"
"1759927916","0.51495","2025-10-08T18:21:56+05:30","53.33"
"1759494790","0.5069","2025-10-03T18:03:10+05:30","67.78"
"1759494513","0.5129","2025-10-03T17:58:33+05:30","66.11"
"1759230933","0.3434","2025-09-30T16:45:33+05:30","62.78"
"1758797769","0.06705","2025-09-25T16:26:09+05:30","64.44"
"1758800940","0.0162","2025-09-25T11:49:00+05:30","53.33"
"1759927968","0.56295","2025-10-08T18:22:48+05:30","61.11"
"1759928058","0.60395","2025-10-08T18:24:18+05:30","61.67"
"1759754534","0.4179","2025-10-06T18:12:14+05:30","53.33"
"1758796978","0.01105","2025-09-25T16:12:58+05:30","53.33"
