ts,datetime,current,temperature,device_id,parsed_datetime,recon_error,anomaly_score,anomaly_current,current_anomaly_reason,current_severity,anomaly_temperature,temperature_anomaly_reason,temperature_severity,combined_severity,anomaly_threshold,anomaly_percentile,anomaly_isolation_forest,anomaly_zscore,anomaly_ensemble,anomaly_ensemble_smoothed
1759231354.0,2025-09-30T16:52:34+05:30,0.1542,51.11,d4,2025-09-30 16:52:34+05:30,14.44043595572957,-0.01491555609060894,0,,normal,1,Low temp: 51.11°C,medium,medium,0,0,0,0,1,0
1759231355.0,2025-09-30T16:52:35+05:30,0.1152,53.33,d4,2025-09-30 16:52:35+05:30,13.368200853377328,-0.01491648797294411,0,,normal,0,,normal,normal,0,0,0,0,0,0
1759231356.0,2025-09-30T16:52:36+05:30,0.0392,53.33,d4,2025-09-30 16:52:36+05:30,14.332634665195782,-0.014915649780992829,0,,normal,0,,normal,normal,0,0,0,0,0,0
1759231357.0,2025-09-30T16:52:37+05:30,0.4462,53.33,d4,2025-09-30 16:52:37+05:30,25.47766278563181,-0.014905963607869424,0,,normal,0,,normal,normal,0,0,0,0,0,0
1759231358.0,2025-09-30T16:52:38+05:30,0.1432,50.56,d4,2025-09-30 16:52:38+05:30,19.558270933074773,-0.01491110816682877,0,,normal,1,Low temp: 50.56°C,medium,medium,0,0,0,0,1,0
1759231359.0,2025-09-30T16:52:39+05:30,0.0672,50.56,d4,2025-09-30 16:52:39+05:30,17.983689469306558,-0.014912476639702068,0,,normal,1,Low temp: 50.56°C,medium,medium,0,0,0,0,1,0
1759231360.0,2025-09-30T16:52:40+05:30,0.3352,53.33,d4,2025-09-30 16:52:40+05:30,12.043869380339368,-0.014917638952895168,0,,normal,0,,normal,normal,0,0,0,0,0,0
1759231361.0,2025-09-30T16:52:41+05:30,0.3082,53.33,d4,2025-09-30 16:52:41+05:30,13.445908061632965,-0.014916420437405932,0,,normal,0,,normal,normal,0,0,0,0,0,0
1759231362.0,2025-09-30T16:52:42+05:30,0.2572,53.33,d4,2025-09-30 16:52:42+05:30,13.492602807314743,-0.01491637985488019,0,,normal,0,,normal,normal,0,0,0,0,0,0
1759231363.0,2025-09-30T16:52:43+05:30,0.1482,50.56,d4,2025-09-30 16:52:43+05:30,17.971362667231112,-0.014912487352958031,0,,normal,1,Low temp: 50.56°C,medium,medium,0,0,0,0,1,0
1759231364.0,2025-09-30T16:52:44+05:30,0.1502,50.56,d4,2025-09-30 16:52:44+05:30,16.70541230782274,-0.014913587593730359,0,,normal,1,Low temp: 50.56°C,medium,medium,0,0,0,0,1,0
1759231365.0,2025-09-30T16:52:45+05:30,0.0682,53.33,d4,2025-09-30 16:52:45+05:30,15.809847472245021,-0.01491436593147405,0,,normal,0,,normal,normal,0,0,0,0,0,0
1759231371.0,2025-09-30T16:52:51+05:30,0.2622,50.56,d4,2025-09-30 16:52:51+05:30,13.83890432190291,-0.014916078883327048,0,,normal,1,Low temp: 50.56°C,medium,medium,0,0,0,0,1,0
1759231372.0,2025-09-30T16:52:52+05:30,0.0932,53.33,d4,2025-09-30 16:52:52+05:30,15.468917946013564,-0.014914662234218043,0,,normal,0,,normal,normal,0,0,0,0,0,0
1759231373.0,2025-09-30T16:52:53+05:30,0.1322,53.33,d4,2025-09-30 16:52:53+05:30,12.583606149822756,-0.014917169866255476,0,,normal,0,,normal,normal,0,0,0,0,0,0
1759231374.0,2025-09-30T16:52:54+05:30,0.3862,53.33,d4,2025-09-30 16:52:54+05:30,9.978273853747796,-0.014919434167376216,0,,normal,0,,normal,normal,0,0,0,0,0,0
