"ts","current","datetime","temperature"
"1760422071","0.1533","2025-10-14T11:37:51+05:30","53.33"
"1760422088","0.0923","2025-10-14T11:38:08+05:30","67.78"
"1760421914","0.1443","2025-10-14T11:35:14+05:30","53.33"
"1759486832","'-0.0006","2025-10-03T15:50:32+05:30","53.33"
"1759486954","0.0454","2025-10-03T15:52:34+05:30","53.33"
"1759486777","0.0634","2025-10-03T15:49:37+05:30","53.33"
"1760006903","'-0.09305","2025-10-09T16:18:23+05:30","62.78"
"1760006944","'-0.01805","2025-10-09T16:19:04+05:30","53.33"
"1759486724","'-0.0286","2025-10-03T15:48:44+05:30","63.33"
"1760007248","0.00995","2025-10-09T16:24:08+05:30","53.33"
"1760007142","0.03095","2025-10-09T16:22:22+05:30","65"
"1760007263","0.01295","2025-10-09T16:24:23+05:30","53.33"
"1760007292","0.02995","2025-10-09T16:24:52+05:30","66.11"
"1760006928","'-0.05305","2025-10-09T16:18:48+05:30","62.78"
"7","0.01595","1970-01-01T00:00:07+05:30","53.33"
"1760421828","0.1783","2025-10-14T11:33:48+05:30","53.33"
"1760006967","0.00495","2025-10-09T16:19:27+05:30","53.33"
"1760007085","'-0.03005","2025-10-09T16:21:25+05:30","53.33"
"1760422097","0.1043","2025-10-14T11:38:17+05:30","53.33"
"1760007249","0.01495","2025-10-09T16:24:09+05:30","53.33"
"1759486951","0.0114","2025-10-03T15:52:31+05:30","63.33"
"1759486860","0.0414","2025-10-03T15:51:00+05:30","53.33"
"1760007300","0.02195","2025-10-09T16:25:00+05:30","66.67"
"1760007226","0.03495","2025-10-09T16:23:46+05:30","53.33"
"1760007318","'-0.01005","2025-10-09T16:25:18+05:30","53.33"
"1760007174","'-0.03905","2025-10-09T16:22:54+05:30","53.33"
"1760006867","'-0.01705","2025-10-09T16:17:47+05:30","53.33"
"1759486774","0.0404","2025-10-03T15:49:34+05:30","64.44"
"1760421966","0.1353","2025-10-14T11:36:06+05:30","53.33"
"1760421990","0.1233","2025-10-14T11:36:30+05:30","53.33"
"1760007328","0.02895","2025-10-09T16:25:28+05:30","67.22"
"1760007148","'-0.00005","2025-10-09T16:22:28+05:30","53.33"
"1760007220","0.00895","2025-10-09T16:23:40+05:30","53.33"
"47","0.00695","1970-01-01T00:00:47+05:30","60"
"1760007258","'-0.00505","2025-10-09T16:24:18+05:30","53.33"
"1760007306","0.03595","2025-10-09T16:25:06+05:30","53.33"
"1760421843","0.1773","2025-10-14T11:34:03+05:30","67.78"
"1760006979","'-0.03205","2025-10-09T16:19:39+05:30","53.33"
"1760007257","0.03095","2025-10-09T16:24:17+05:30","53.33"
"1760421919","0.1323","2025-10-14T11:35:19+05:30","53.33"
"1760421987","0.0823","2025-10-14T11:36:27+05:30","68.33"
"1760007270","'-0.02105","2025-10-09T16:24:30+05:30","53.33"
"1760007081","'-0.00705","2025-10-09T16:21:21+05:30","53.33"
"1760421889","0.1243","2025-10-14T11:34:49+05:30","53.33"
"1760421940","0.1643","2025-10-14T11:35:40+05:30","53.33"
"1760006934","'-0.07505","2025-10-09T16:18:54+05:30","62.78"
"1760421761","0.1263","2025-10-14T11:32:41+05:30","53.33"
"1760006918","'-0.04605","2025-10-09T16:18:38+05:30","53.33"
"1760007205","'-0.04605","2025-10-09T16:23:25+05:30","65.56"
"1760006956","'-0.02805","2025-10-09T16:19:16+05:30","63.33"
"1760007316","0.01495","2025-10-09T16:25:16+05:30","66.11"
"1760422020","0.1473","2025-10-14T11:37:00+05:30","68.89"
"1760007339","'-0.02005","2025-10-09T16:25:39+05:30","66.67"
"1760421921","0.1283","2025-10-14T11:35:21+05:30","53.33"
"1760421931","0.1163","2025-10-14T11:35:31+05:30","53.33"
"1759486938","'-0.0186","2025-10-03T15:52:18+05:30","53.33"
"1760421639","0.1153","2025-10-14T11:30:39+05:30","53.33"
"1760421827","0.1183","2025-10-14T11:33:47+05:30","67.22"
"1760421885","0.1763","2025-10-14T11:34:45+05:30","53.33"
"1760422093","0.1383","2025-10-14T11:38:13+05:30","70"
"1760007297","0.01195","2025-10-09T16:24:57+05:30","53.33"
"1760007066","'-0.01805","2025-10-09T16:21:06+05:30","53.33"
"1760007053","'-0.02705","2025-10-09T16:20:53+05:30","53.33"
"1760007296","'-0.01705","2025-10-09T16:24:56+05:30","66.67"
"1760421983","0.1973","2025-10-14T11:36:23+05:30","68.89"
"1759486731","0.0044","2025-10-03T15:48:51+05:30","53.33"
"1760422100","0.1483","2025-10-14T11:38:20+05:30","68.89"
"1760007072","'-0.06605","2025-10-09T16:21:12+05:30","53.33"
"1760007130","'-0.07205","2025-10-09T16:22:10+05:30","53.33"
"1760007091","'-0.05605","2025-10-09T16:21:31+05:30","53.33"
"1760006991","'-0.04805","2025-10-09T16:19:51+05:30","53.33"
"1760007285","0.01095","2025-10-09T16:24:45+05:30","53.33"
"1760006908","'-0.13005","2025-10-09T16:18:28+05:30","62.22"
"1760007196","0.01595","2025-10-09T16:23:16+05:30","53.33"
"1760006983","'-0.05905","2025-10-09T16:19:43+05:30","63.89"
"1760007311","0.04095","2025-10-09T16:25:11+05:30","65.56"
"1759486714","0.0274","2025-10-03T15:48:34+05:30","53.33"
"1760007298","'-0.02005","2025-10-09T16:24:58+05:30","53.33"
"1760006935","'-0.08505","2025-10-09T16:18:55+05:30","53.33"
"1760421717","0.1483","2025-10-14T11:31:57+05:30","67.22"
"1760007197","'-0.05505","2025-10-09T16:23:17+05:30","53.33"
"1759486734","'-0.0076","2025-10-03T15:48:54+05:30","53.33"
"1759486780","'-0.0226","2025-10-03T15:49:40+05:30","53.33"
"1760007087","'-0.02205","2025-10-09T16:21:27+05:30","53.33"
"1760007136","'-0.09605","2025-10-09T16:22:16+05:30","53.33"
"1760422073","0.1403","2025-10-14T11:37:53+05:30","53.33"
"1760007187","'-0.02905","2025-10-09T16:23:07+05:30","53.33"
"1759486843","0.0214","2025-10-03T15:50:43+05:30","64.44"
"1759486805","'-0.0256","2025-10-03T15:50:05+05:30","63.33"
"1760007265","'-0.01105","2025-10-09T16:24:25+05:30","53.33"
"1760007166","'-0.05405","2025-10-09T16:22:46+05:30","65"
"1760007000","'-0.04305","2025-10-09T16:20:00+05:30","63.89"
"1759486876","'-0.0056","2025-10-03T15:51:16+05:30","53.33"
"1760421819","0.1563","2025-10-14T11:33:39+05:30","53.33"
"1760421901","0.1443","2025-10-14T11:35:01+05:30","68.89"
"1760421741","0.1463","2025-10-14T11:32:21+05:30","67.78"
"1760422052","0.1703","2025-10-14T11:37:32+05:30","68.89"
"1759486877","0.0864","2025-10-03T15:51:17+05:30","65"
"1760007303","'-0.04705","2025-10-09T16:25:03+05:30","53.33"
"1760007176","'-0.01505","2025-10-09T16:22:56+05:30","53.33"
"1760007078","'-0.07405","2025-10-09T16:21:18+05:30","64.44"
"1760421796","0.1933","2025-10-14T11:33:16+05:30","53.33"
"1760421908","0.1313","2025-10-14T11:35:08+05:30","68.89"
"1760006902","'-0.04605","2025-10-09T16:18:22+05:30","53.33"
"1760007012","'-0.01505","2025-10-09T16:20:12+05:30","53.33"
"1760422063","0.1203","2025-10-14T11:37:43+05:30","68.89"
"1760006941","'-0.04905","2025-10-09T16:19:01+05:30","53.33"
"1760007108","'-0.01305","2025-10-09T16:21:48+05:30","53.33"
"1759486709","'-0.0256","2025-10-03T15:48:29+05:30","53.33"
"1760006906","'-0.07805","2025-10-09T16:18:26+05:30","53.33"
"1760421797","0.1533","2025-10-14T11:33:17+05:30","53.33"
"1759486719","0.0344","2025-10-03T15:48:39+05:30","63.89"
"8","0.01095","1970-01-01T00:00:08+05:30","55.56"
"1760007047","'-0.08505","2025-10-09T16:20:47+05:30","53.33"
"1759486779","0.0354","2025-10-03T15:49:39+05:30","53.33"
"1760422028","0.0943","2025-10-14T11:37:08+05:30","53.33"
"1760421910","0.1073","2025-10-14T11:35:10+05:30","53.33"
"1759486797","'-0.0176","2025-10-03T15:49:57+05:30","53.33"
"62","'-0.10605","1970-01-01T05:31:02+05:30","53.33"
"1760007109","'-0.07405","2025-10-09T16:21:49+05:30","53.33"
"1759486793","'-0.0136","2025-10-03T15:49:53+05:30","53.33"
"1759486961","'-0.0066","2025-10-03T15:52:41+05:30","53.33"
"1760007141","'-0.00705","2025-10-09T16:22:21+05:30","65.56"
"1760006974","'-0.05605","2025-10-09T16:19:34+05:30","63.89"
"1760421766","0.2103","2025-10-14T11:32:46+05:30","53.33"
"1759486840","0.0044","2025-10-03T15:50:40+05:30","63.33"
"1760422064","0.1083","2025-10-14T11:37:44+05:30","68.33"
"1760006992","'-0.02805","2025-10-09T16:19:52+05:30","63.33"
"1760007282","'-0.03905","2025-10-09T16:24:42+05:30","66.11"
"1760007070","'-0.03105","2025-10-09T16:21:10+05:30","64.44"
"1760421842","0.1873","2025-10-14T11:34:02+05:30","53.33"
"54","'-0.02905","1970-01-01T05:30:54+05:30","53.33"
"1760421959","0.1353","2025-10-14T11:35:59+05:30","68.33"
"1760006970","'-0.04805","2025-10-09T16:19:30+05:30","53.33"
"1759486698","'-0.0196","2025-10-03T15:48:18+05:30","63.33"
"1760006886","'-0.01205","2025-10-09T16:18:06+05:30","53.33"
"1759486768","'-0.0086","2025-10-03T15:49:28+05:30","62.78"
"1760006971","'-0.05605","2025-10-09T16:19:31+05:30","63.33"
"1760422069","0.1493","2025-10-14T11:37:49+05:30","53.33"
"1760007245","'-0.03805","2025-10-09T16:24:05+05:30","53.33"
"1760007160","'-0.04505","2025-10-09T16:22:40+05:30","53.33"
"1760422074","0.1543","2025-10-14T11:37:54+05:30","53.33"
"1760007138","0.00995","2025-10-09T16:22:18+05:30","53.33"
"1760007314","0.04495","2025-10-09T16:25:14+05:30","53.33"
"1760007219","0.01795","2025-10-09T16:23:39+05:30","53.33"
"1759486942","0.0054","2025-10-03T15:52:22+05:30","53.33"
"1760007102","'-0.03505","2025-10-09T16:21:42+05:30","53.33"
"1760421949","0.1423","2025-10-14T11:35:49+05:30","53.33"
"1760421838","0.1713","2025-10-14T11:33:58+05:30","53.33"
"1760422061","0.1083","2025-10-14T11:37:41+05:30","53.33"
"1760421772","0.1723","2025-10-14T11:32:52+05:30","53.33"
"1760421764","0.0873","2025-10-14T11:32:44+05:30","53.33"
"1760421904","0.1353","2025-10-14T11:35:04+05:30","53.33"
"1759486945","0.0974","2025-10-03T15:52:25+05:30","53.33"
"1760007010","'-0.02605","2025-10-09T16:20:10+05:30","63.89"
"1759486952","'-0.0116","2025-10-03T15:52:32+05:30","63.33"
"1760007170","'-0.01805","2025-10-09T16:22:50+05:30","65.56"
"1760006910","'-0.06405","2025-10-09T16:18:30+05:30","53.33"
"32","'-0.00505","1970-01-01T00:00:32+05:30","53.33"
"1759486841","'-0.0236","2025-10-03T15:50:41+05:30","53.33"
"1760006990","'-0.09705","2025-10-09T16:19:50+05:30","64.44"
"1760006995","'-0.09005","2025-10-09T16:19:55+05:30","53.33"
"1760421823","0.1473","2025-10-14T11:33:43+05:30","53.33"
"1760421786","0.1353","2025-10-14T11:33:06+05:30","53.33"
"1759486707","0.0174","2025-10-03T15:48:27+05:30","64.44"
"1759486753","'-0.0346","2025-10-03T15:49:13+05:30","62.78"
"1759486940","0.0204","2025-10-03T15:52:20+05:30","53.33"
"1760421729","0.1693","2025-10-14T11:32:09+05:30","53.33"
"1760007127","'-0.03805","2025-10-09T16:22:07+05:30","65.56"
"1759486704","'-0.0216","2025-10-03T15:48:24+05:30","63.33"
"1760421769","0.1183","2025-10-14T11:32:49+05:30","67.22"
"1760421864","0.0733","2025-10-14T11:34:24+05:30","53.33"
"1760421846","0.1263","2025-10-14T11:34:06+05:30","53.33"
"1760007050","'-0.02705","2025-10-09T16:20:50+05:30","64.44"
"1760007105","'-0.01705","2025-10-09T16:21:45+05:30","53.33"
"1760006854","'-0.06005","2025-10-09T16:17:34+05:30","61.11"
"1759486896","0.0634","2025-10-03T15:51:36+05:30","53.33"
"1759486891","'-0.0136","2025-10-03T15:51:31+05:30","63.33"
"1760421740","0.0893","2025-10-14T11:32:20+05:30","53.33"
"1760421802","0.1573","2025-10-14T11:33:22+05:30","68.33"
"1760421636","0.1173","2025-10-14T11:30:36+05:30","53.33"
"1760007083","'-0.08705","2025-10-09T16:21:23+05:30","65"
"1759486935","0.0254","2025-10-03T15:52:15+05:30","63.33"
"1760421975","0.1523","2025-10-14T11:36:15+05:30","69.44"
"1759486749","'-0.0176","2025-10-03T15:49:09+05:30","53.33"
"1760007032","'-0.07405","2025-10-09T16:20:32+05:30","53.33"
"1760006965","'-0.04005","2025-10-09T16:19:25+05:30","53.33"
"1759486836","0.0024","2025-10-03T15:50:36+05:30","62.78"
"1760421896","0.1603","2025-10-14T11:34:56+05:30","53.33"
"1760421929","0.1433","2025-10-14T11:35:29+05:30","53.33"
"1760421836","0.1113","2025-10-14T11:33:56+05:30","66.67"
"1760006892","'-0.03405","2025-10-09T16:18:12+05:30","62.22"
"1760421991","0.1243","2025-10-14T11:36:31+05:30","53.33"
"1760006881","'-0.07205","2025-10-09T16:18:01+05:30","53.33"
"1760422011","0.1393","2025-10-14T11:36:51+05:30","53.33"
"1760007194","'-0.05305","2025-10-09T16:23:14+05:30","66.11"
"1760421905","0.1433","2025-10-14T11:35:05+05:30","53.33"
"1760006831","0.00295","2025-10-09T16:17:11+05:30","60"
"1760007042","'-0.01205","2025-10-09T16:20:42+05:30","53.33"
"1760007110","'-0.04705","2025-10-09T16:21:50+05:30","53.33"
"1759486783","0.0414","2025-10-03T15:49:43+05:30","53.33"
"1760422013","0.1643","2025-10-14T11:36:53+05:30","68.89"
"1760421732","0.1843","2025-10-14T11:32:12+05:30","53.33"
"1759486883","0.0124","2025-10-03T15:51:23+05:30","53.33"
"1760421794","0.0503","2025-10-14T11:33:14+05:30","67.22"
"1759486946","0.0634","2025-10-03T15:52:26+05:30","64.44"
"1760006915","'-0.07705","2025-10-09T16:18:35+05:30","53.33"
"1759486888","0.0604","2025-10-03T15:51:28+05:30","53.33"
"1760007060","'-0.06305","2025-10-09T16:21:00+05:30","64.44"
"1760007003","'-0.05405","2025-10-09T16:20:03+05:30","53.33"
"1759486930","'-0.0006","2025-10-03T15:52:10+05:30","53.33"
"1760006840","'-0.04405","2025-10-09T16:17:20+05:30","53.33"
"1760421736","0.0633","2025-10-14T11:32:16+05:30","66.67"
"1760007028","'-0.05005","2025-10-09T16:20:28+05:30","53.33"
"1760006952","'-0.00905","2025-10-09T16:19:12+05:30","53.33"
"1760006924","0.00695","2025-10-09T16:18:44+05:30","53.33"
"1760006898","'-0.06305","2025-10-09T16:18:18+05:30","53.33"
"1760421996","0.1053","2025-10-14T11:36:36+05:30","68.89"
"1760421998","0.0913","2025-10-14T11:36:38+05:30","67.78"
"1760421705","0.1203","2025-10-14T11:31:45+05:30","53.33"
"1760421733","0.1143","2025-10-14T11:32:13+05:30","53.33"
"1760006880","'-0.01405","2025-10-09T16:18:00+05:30","61.11"
"1760007144","'-0.04905","2025-10-09T16:22:24+05:30","53.33"
"1760007288","0.04295","2025-10-09T16:24:48+05:30","53.33"
"1760421696","0.0493","2025-10-14T11:31:36+05:30","66.11"
"1760421804","0.1353","2025-10-14T11:33:24+05:30","53.33"
"1760007164","'-0.07005","2025-10-09T16:22:44+05:30","53.33"
"1759486738","'-0.0056","2025-10-03T15:48:58+05:30","53.33"
"1759486737","'-0.0276","2025-10-03T15:48:57+05:30","63.33"
"1760421871","0.1403","2025-10-14T11:34:31+05:30","53.33"
"1760007327","'-0.00505","2025-10-09T16:25:27+05:30","53.33"
"1760421824","0.1723","2025-10-14T11:33:44+05:30","53.33"
"1759486834","'-0.0026","2025-10-03T15:50:34+05:30","53.33"
"1760006842","'-0.03005","2025-10-09T16:17:22+05:30","53.33"
"1760007015","'-0.03205","2025-10-09T16:20:15+05:30","53.33"
"1760421753","0.1833","2025-10-14T11:32:33+05:30","67.78"
"1760007021","'-0.07205","2025-10-09T16:20:21+05:30","53.33"
"56","'-0.01805","1970-01-01T05:30:56+05:30","59.44"
"1759486829","'-0.0356","2025-10-03T15:50:29+05:30","63.33"
"1760422034","0.0913","2025-10-14T11:37:14+05:30","69.44"
"1760421760","0.1523","2025-10-14T11:32:40+05:30","67.78"
"1760007133","'-0.07605","2025-10-09T16:22:13+05:30","53.33"
"1760421926","0.0973","2025-10-14T11:35:26+05:30","67.78"
"1760006930","'-0.08205","2025-10-09T16:18:50+05:30","53.33"
"1760422058","0.1223","2025-10-14T11:37:38+05:30","53.33"
"1760007069","'-0.06905","2025-10-09T16:21:09+05:30","64.44"
"1760007246","0.01095","2025-10-09T16:24:06+05:30","53.33"
"1760007195","0.01895","2025-10-09T16:23:15+05:30","65.56"
"1759486859","0.0654","2025-10-03T15:50:59+05:30","53.33"
"1760421773","0.1083","2025-10-14T11:32:53+05:30","67.22"
"1760006893","'-0.06005","2025-10-09T16:18:13+05:30","53.33"
"1759486702","'-0.0476","2025-10-03T15:48:22+05:30","53.33"
"1759486761","'-0.0216","2025-10-03T15:49:21+05:30","57.78"
"1760007001","0.00395","2025-10-09T16:20:01+05:30","63.89"
"1760421681","0.0473","2025-10-14T11:31:21+05:30","67.22"
"1760421973","0.1663","2025-10-14T11:36:13+05:30","68.33"
"1760007230","'-0.02205","2025-10-09T16:23:50+05:30","53.33"
"1760006931","'-0.04105","2025-10-09T16:18:51+05:30","53.33"
"1760006873","'-0.06605","2025-10-09T16:17:53+05:30","53.33"
"1760007065","'-0.08105","2025-10-09T16:21:05+05:30","53.33"
"1760421898","0.1503","2025-10-14T11:34:58+05:30","68.89"
"1760421750","0.0853","2025-10-14T11:32:30+05:30","53.33"
"1760007034","'-0.05905","2025-10-09T16:20:34+05:30","53.33"
"1760421944","0.1563","2025-10-14T11:35:44+05:30","53.33"
"1760421960","0.1623","2025-10-14T11:36:00+05:30","53.33"
"1760006981","'-0.08705","2025-10-09T16:19:41+05:30","63.89"
"1759486909","'-0.0076","2025-10-03T15:51:49+05:30","53.33"
"1759486937","'-0.0016","2025-10-03T15:52:17+05:30","53.33"
"1760006996","'-0.00805","2025-10-09T16:19:56+05:30","53.33"
"1760006946","'-0.01505","2025-10-09T16:19:06+05:30","53.33"
"1760007320","'-0.03305","2025-10-09T16:25:20+05:30","66.67"
"1760006939","'-0.03505","2025-10-09T16:18:59+05:30","53.33"
"1760421943","0.1393","2025-10-14T11:35:43+05:30","53.33"
"1759486884","'-0.0346","2025-10-03T15:51:24+05:30","53.33"
"44","'-0.03905","1970-01-01T00:00:44+05:30","53.33"
"1760007202","'-0.02705","2025-10-09T16:23:22+05:30","53.33"
"1760422075","0.1633","2025-10-14T11:37:55+05:30","53.33"
"39","'-0.02505","1970-01-01T00:00:39+05:30","53.33"
"1760421878","0.1563","2025-10-14T11:34:38+05:30","67.78"
"1760006833","0.03395","2025-10-09T16:17:13+05:30","53.33"
"1759486875","0.0264","2025-10-03T15:51:15+05:30","53.33"
"1760421967","0.1183","2025-10-14T11:36:07+05:30","53.33"
"10","0.01495","1970-01-01T00:00:10+05:30","53.33"
"1760421989","0.1063","2025-10-14T11:36:29+05:30","53.33"
"1760007240","0.02195","2025-10-09T16:24:00+05:30","53.33"
"1759486837","'-0.0166","2025-10-03T15:50:37+05:30","63.89"
"1760007061","'-0.00505","2025-10-09T16:21:01+05:30","53.33"
"1760422023","0.1293","2025-10-14T11:37:03+05:30","53.33"
"1760421813","0.1823","2025-10-14T11:33:33+05:30","53.33"
"1760422066","0.1483","2025-10-14T11:37:46+05:30","53.33"
"1760421954","0.1233","2025-10-14T11:35:54+05:30","67.78"
"1759486932","'-0.0136","2025-10-03T15:52:12+05:30","63.33"
"1760007147","0.01995","2025-10-09T16:22:27+05:30","65.56"
"1760421933","0.1453","2025-10-14T11:35:33+05:30","53.33"
"1760007183","'-0.01905","2025-10-09T16:23:03+05:30","53.33"
"1760422055","0.1293","2025-10-14T11:37:35+05:30","53.33"
"1759486925","0.0264","2025-10-03T15:52:05+05:30","53.33"
"31","'-0.03305","1970-01-01T00:00:31+05:30","53.33"
"1759486929","'-0.0056","2025-10-03T15:52:09+05:30","53.33"
"1760007341","0.01395","2025-10-09T16:25:41+05:30","53.33"
"1760422012","0.1083","2025-10-14T11:36:52+05:30","53.33"
"1760007104","'-0.00905","2025-10-09T16:21:44+05:30","53.33"
"1760007305","'-0.04205","2025-10-09T16:25:05+05:30","66.67"
"1760006989","'-0.05305","2025-10-09T16:19:49+05:30","53.33"
"1760007279","0.06195","2025-10-09T16:24:39+05:30","53.33"
"58","'-0.08305","1970-01-01T05:30:58+05:30","53.33"
"1760007221","'-0.05205","2025-10-09T16:23:41+05:30","53.33"
"1759486903","0.0424","2025-10-03T15:51:43+05:30","63.33"
"1759486720","'-0.0146","2025-10-03T15:48:40+05:30","63.33"
"1760421936","0.1413","2025-10-14T11:35:36+05:30","53.33"
"1760421962","0.1473","2025-10-14T11:36:02+05:30","53.33"
"1759486821","0.0474","2025-10-03T15:50:21+05:30","53.33"
"1760422077","0.1583","2025-10-14T11:37:57+05:30","53.33"
"1760422082","0.1873","2025-10-14T11:38:02+05:30","53.33"
"1760007350","'-0.00405","2025-10-09T16:25:50+05:30","66.11"
"1760007215","0.06895","2025-10-09T16:23:35+05:30","65.56"
"1759486818","'-0.0046","2025-10-03T15:50:18+05:30","53.33"
"1760421895","0.1763","2025-10-14T11:34:55+05:30","53.33"
"1760422065","0.1113","2025-10-14T11:37:45+05:30","53.33"
"1760421986","0.1323","2025-10-14T11:36:26+05:30","68.33"
"1760421997","0.1203","2025-10-14T11:36:37+05:30","53.33"
"1760421972","0.1563","2025-10-14T11:36:12+05:30","53.33"
"1759486799","'-0.0366","2025-10-03T15:49:59+05:30","53.33"
"1760422005","0.1733","2025-10-14T11:36:45+05:30","69.44"
"1759486791","'-0.0116","2025-10-03T15:49:51+05:30","53.33"
"1759486881","0.0264","2025-10-03T15:51:21+05:30","53.33"
"1759486806","'-0.0216","2025-10-03T15:50:06+05:30","53.33"
"1760007190","'-0.02505","2025-10-09T16:23:10+05:30","65.56"
"1760006872","0.00195","2025-10-09T16:17:52+05:30","53.33"
"1760007111","'-0.10505","2025-10-09T16:21:51+05:30","65.56"
"1760421693","0.1623","2025-10-14T11:31:33+05:30","53.33"
"1759486902","0.0294","2025-10-03T15:51:42+05:30","63.33"
"1760421641","0.1353","2025-10-14T11:30:41+05:30","65.56"
"65","'-0.08705","1970-01-01T05:31:05+05:30","53.33"
"1760421958","0.1123","2025-10-14T11:35:58+05:30","53.33"
"1759486742","0.0424","2025-10-03T15:49:02+05:30","64.44"
"1760007064","'-0.09505","2025-10-09T16:21:04+05:30","53.33"
"1759486958","0.0114","2025-10-03T15:52:38+05:30","53.33"
"1760007131","'-0.08305","2025-10-09T16:22:11+05:30","65.56"
"1760007096","'-0.02105","2025-10-09T16:21:36+05:30","53.33"
"1760007287","0.02595","2025-10-09T16:24:47+05:30","66.11"
"1760421977","0.1213","2025-10-14T11:36:17+05:30","53.33"
