ts,datetime,current,temperature,device_id,parsed_datetime,recon_error,anomaly_score,anomaly_current,current_anomaly_reason,current_severity,anomaly_temperature,temperature_anomaly_reason,temperature_severity,combined_severity,anomaly_threshold,anomaly_percentile,anomaly_isolation_forest,anomaly_zscore,anomaly_ensemble,anomaly_ensemble_smoothed
5.0,1970-01-01T00:00:05+05:30,0.0,53.33,d8,1970-01-01 00:00:05+05:30,16.54834847292001,-0.014913724098320556,0,,normal,0,,normal,normal,0,0,0,0,0,0
6.0,1970-01-01T00:00:06+05:30,0.02945,53.33,d8,1970-01-01 00:00:06+05:30,13.775723146934292,-0.014916133794251657,0,,normal,0,,normal,normal,0,0,0,0,0,0
7.0,1970-01-01T00:00:07+05:30,0.04545,53.33,d8,1970-01-01 00:00:07+05:30,13.011310484824818,-0.014916798147297957,0,,normal,0,,normal,normal,0,0,0,0,0,0
8.0,1970-01-01T00:00:08+05:30,0.0,53.33,d8,1970-01-01 00:00:08+05:30,15.063820499716952,-0.014915014305469394,0,,normal,0,,normal,normal,0,0,0,0,0,0
9.0,1970-01-01T00:00:09+05:30,0.0,53.33,d8,1970-01-01 00:00:09+05:30,13.307000896092537,-0.01491654116198724,0,,normal,0,,normal,normal,0,0,0,0,0,0
10.0,1970-01-01T00:00:10+05:30,0.0,53.33,d8,1970-01-01 00:00:10+05:30,13.275574908002714,-0.014916568474395781,0,,normal,0,,normal,normal,0,0,0,0,0,0
11.0,1970-01-01T00:00:11+05:30,0.01645,53.33,d8,1970-01-01 00:00:11+05:30,12.918994960774972,-0.014916878378961641,0,,normal,0,,normal,normal,0,0,0,0,0,0
12.0,1970-01-01T00:00:12+05:30,0.0,53.33,d8,1970-01-01 00:00:12+05:30,14.077808463589477,-0.014915871251111924,0,,normal,0,,normal,normal,0,0,0,0,0,0
13.0,1970-01-01T00:00:13+05:30,0.0,53.33,d8,1970-01-01 00:00:13+05:30,12.972730558992238,-0.014916831677212522,0,,normal,0,,normal,normal,0,0,0,0,0,0
14.0,1970-01-01T00:00:14+05:30,0.0,53.33,d8,1970-01-01 00:00:14+05:30,12.76848983558644,-0.01491700918336005,0,,normal,0,,normal,normal,0,0,0,0,0,0
15.0,1970-01-01T00:00:15+05:30,0.0,53.33,d8,1970-01-01 00:00:15+05:30,12.76848983558644,-0.01491700918336005,0,,normal,0,,normal,normal,0,0,0,0,0,0
16.0,1970-01-01T00:00:16+05:30,0.01845,53.33,d8,1970-01-01 00:00:16+05:30,12.469818167470825,-0.014917268759688898,0,,normal,0,,normal,normal,0,0,0,0,0,0
17.0,1970-01-01T00:00:17+05:30,0.0,53.33,d8,1970-01-01 00:00:17+05:30,13.831728084693694,-0.014916085120213599,0,,normal,0,,normal,normal,0,0,0,0,0,0
18.0,1970-01-01T00:00:18+05:30,0.0,53.33,d8,1970-01-01 00:00:18+05:30,12.726601431771467,-0.014917045588681493,0,,normal,0,,normal,normal,0,0,0,0,0,0
19.0,1970-01-01T00:00:19+05:30,0.0,53.33,d8,1970-01-01 00:00:19+05:30,12.726601431771467,-0.014917045588681493,0,,normal,0,,normal,normal,0,0,0,0,0,0
20.0,1970-01-01T00:00:20+05:30,0.01245,53.33,d8,1970-01-01 00:00:20+05:30,12.548805401237678,-0.014917200111677199,0,,normal,0,,normal,normal,0,0,0,0,0,0
21.0,1970-01-01T00:00:21+05:30,0.00445,53.33,d8,1970-01-01 00:00:21+05:30,13.307283917046453,-0.01491654091601299,0,,normal,0,,normal,normal,0,0,0,0,0,0
22.0,1970-01-01T00:00:22+05:30,0.01545,53.33,d8,1970-01-01 00:00:22+05:30,11.857233277301658,-0.014917801158821038,0,,normal,0,,normal,normal,0,0,0,0,0,0
23.0,1970-01-01T00:00:23+05:30,0.10945,53.33,d8,1970-01-01 00:00:23+05:30,14.865075070667515,-0.014915187035642204,0,,normal,0,,normal,normal,0,0,0,0,0,0
24.0,1970-01-01T00:00:24+05:30,0.0,53.33,d8,1970-01-01 00:00:24+05:30,14.871072274062005,-0.014915181823457031,0,,normal,0,,normal,normal,0,0,0,0,0,0
25.0,1970-01-01T00:00:25+05:30,0.17445,53.33,d8,1970-01-01 00:00:25+05:30,11.396964140892113,-0.014918201179932733,0,,normal,0,,normal,normal,0,0,0,0,0,0
26.0,1970-01-01T00:00:26+05:30,0.02845,53.33,d8,1970-01-01 00:00:26+05:30,15.269506597573475,-0.014914835543143143,0,,normal,0,,normal,normal,0,0,0,0,0,0
27.0,1970-01-01T00:00:27+05:30,0.11645,51.11,d8,1970-01-01 00:00:27+05:30,14.120730485695958,-0.014915833947470118,0,,normal,1,Low temp: 51.11°C,medium,medium,0,0,0,0,1,0
28.0,1970-01-01T00:00:28+05:30,0.08545,53.33,d8,1970-01-01 00:00:28+05:30,13.80494181475959,-0.014916108400230938,0,,normal,0,,normal,normal,0,0,0,0,0,0
29.0,1970-01-01T00:00:29+05:30,0.10945,53.33,d8,1970-01-01 00:00:29+05:30,12.753310605548444,-0.014917022375668623,0,,normal,0,,normal,normal,0,0,0,0,0,0
30.0,1970-01-01T00:00:30+05:30,0.13445,53.33,d8,1970-01-01 00:00:30+05:30,12.426618475203762,-0.014917306304654569,0,,normal,0,,normal,normal,0,0,0,0,0,0
31.0,1970-01-01T00:00:31+05:30,0.0,53.33,d8,1970-01-01 00:00:31+05:30,15.837003579850125,-0.014914342330029822,0,,normal,0,,normal,normal,0,0,0,0,0,0
32.0,1970-01-01T00:00:32+05:30,0.04145,53.33,d8,1970-01-01 00:00:32+05:30,13.223719656220455,-0.014916613541930891,0,,normal,0,,normal,normal,0,0,0,0,0,0
33.0,1970-01-01T00:00:33+05:30,0.11945,53.33,d8,1970-01-01 00:00:33+05:30,11.60787948021614,-0.014918017872859032,0,,normal,0,,normal,normal,0,0,0,0,0,0
34.0,1970-01-01T00:00:34+05:30,0.10945,53.33,d8,1970-01-01 00:00:34+05:30,13.010500511509937,-0.014916798851247885,0,,normal,0,,normal,normal,0,0,0,0,0,0
35.0,1970-01-01T00:00:35+05:30,0.09345,53.33,d8,1970-01-01 00:00:35+05:30,13.080458357617495,-0.014916738050700646,0,,normal,0,,normal,normal,0,0,0,0,0,0
36.0,1970-01-01T00:00:36+05:30,0.12845,53.33,d8,1970-01-01 00:00:36+05:30,12.208774063322613,-0.014917495633803375,0,,normal,0,,normal,normal,0,0,0,0,0,0
37.0,1970-01-01T00:00:37+05:30,0.19745,52.22,d8,1970-01-01 00:00:37+05:30,12.50046639155731,-0.014917242123237091,0,,normal,1,Low temp: 52.22°C,medium,medium,0,0,0,0,1,0
38.0,1970-01-01T00:00:38+05:30,0.06645,53.33,d8,1970-01-01 00:00:38+05:30,15.030086167309644,-0.014915043624066022,0,,normal,0,,normal,normal,0,0,0,0,0,0
39.0,1970-01-01T00:00:39+05:30,0.08845,52.22,d8,1970-01-01 00:00:39+05:30,13.81988303737954,-0.014916095414775234,0,,normal,1,Low temp: 52.22°C,medium,medium,0,0,0,0,1,0
40.0,1970-01-01T00:00:40+05:30,0.07945,53.33,d8,1970-01-01 00:00:40+05:30,13.629731394408148,-0.014916260676066065,0,,normal,0,,normal,normal,0,0,0,0,0,0
41.0,1970-01-01T00:00:41+05:30,0.23245,52.78,d8,1970-01-01 00:00:41+05:30,11.178846059703366,-0.01491839074692825,0,,normal,1,Low temp: 52.78°C,medium,medium,0,0,0,0,1,0
42.0,1970-01-01T00:00:42+05:30,0.22845,53.33,d8,1970-01-01 00:00:42+05:30,12.599979008913365,-0.014917155636560769,0,,normal,0,,normal,normal,0,0,0,0,0,0
43.0,1970-01-01T00:00:43+05:30,0.19045,53.33,d8,1970-01-01 00:00:43+05:30,13.360306158104068,-0.014916494834244443,0,,normal,0,,normal,normal,0,0,0,0,0,0
44.0,1970-01-01T00:00:44+05:30,0.27345,53.33,d8,1970-01-01 00:00:44+05:30,11.92160285266861,-0.01491774521505453,0,,normal,0,,normal,normal,0,0,0,0,0,0
45.0,1970-01-01T00:00:45+05:30,0.20845,52.78,d8,1970-01-01 00:00:45+05:30,14.226168872463454,-0.014915742310692079,0,,normal,1,Low temp: 52.78°C,medium,medium,0,0,0,0,1,0
46.0,1970-01-01T00:00:46+05:30,0.07645,53.33,d8,1970-01-01 00:00:46+05:30,15.927202503445137,-0.014914263937909135,0,,normal,0,,normal,normal,0,0,0,0,0,0
47.0,1970-01-01T00:00:47+05:30,0.00645,53.33,d8,1970-01-01 00:00:47+05:30,16.405546454447748,-0.014913848207928746,0,,normal,0,,normal,normal,0,0,0,0,0,0
48.0,1970-01-01T00:00:48+05:30,0.07845,53.33,d8,1970-01-01 00:00:48+05:30,31.76986967747781,-0.014900495034383197,0,,normal,0,,normal,normal,0,0,0,0,0,0
49.0,1970-01-01T00:00:49+05:30,0.07845,53.33,d8,1970-01-01 00:00:49+05:30,13.57772623745135,-0.014916305873884156,0,,normal,0,,normal,normal,0,0,0,0,0,0
50.0,1970-01-01T00:00:50+05:30,0.06245,53.33,d8,1970-01-01 00:00:50+05:30,13.487097388926001,-0.014916384639653725,0,,normal,0,,normal,normal,0,0,0,0,0,0
51.0,1970-01-01T00:00:51+05:30,0.04245,53.33,d8,1970-01-01 00:00:51+05:30,13.732960567413802,-0.014916170959321495,0,,normal,0,,normal,normal,0,0,0,0,0,0
52.0,1970-01-01T00:00:52+05:30,0.10145,53.33,d8,1970-01-01 00:00:52+05:30,11.83002618110874,-0.01491782480457958,0,,normal,0,,normal,normal,0,0,0,0,0,0
53.0,1970-01-01T00:00:53+05:30,0.09645,53.33,d8,1970-01-01 00:00:53+05:30,13.033923301242663,-0.014916778494439996,0,,normal,0,,normal,normal,0,0,0,0,0,0
54.0,1970-01-01T00:00:54+05:30,0.04545,53.33,d8,1970-01-01 00:00:54+05:30,13.9746788979629,-0.014915960881287459,0,,normal,0,,normal,normal,0,0,0,0,0,0
55.0,1970-01-01T00:00:55+05:30,0.10845,53.33,d8,1970-01-01 00:00:55+05:30,11.531653853454152,-0.014918084120750852,0,,normal,0,,normal,normal,0,0,0,0,0,0
56.0,1970-01-01T00:00:56+05:30,0.12845,53.33,d8,1970-01-01 00:00:56+05:30,12.369664789334493,-0.014917355803252095,0,,normal,0,,normal,normal,0,0,0,0,0,0
57.0,1970-01-01T00:00:57+05:30,0.23245,52.78,d8,1970-01-01 00:00:57+05:30,11.522005758753005,-0.01491809250593522,0,,normal,1,Low temp: 52.78°C,medium,medium,0,0,0,0,1,0
58.0,1970-01-01T00:00:58+05:30,0.25045,53.33,d8,1970-01-01 00:00:58+05:30,12.4120878261093,-0.014917318933279747,0,,normal,0,,normal,normal,0,0,0,0,0,0
59.0,1970-01-01T00:00:59+05:30,0.12745,53.33,d8,1970-01-01 00:00:59+05:30,14.804072412139034,-0.014915240053212472,0,,normal,0,,normal,normal,0,0,0,0,0,0
60.0,1970-01-01T00:01:00+05:30,0.34445,53.89,d8,1970-01-01 00:01:00+05:30,10.488840012654034,-0.014918990432990562,0,,normal,0,,normal,normal,0,0,0,0,0,0
61.0,1970-01-01T00:01:01+05:30,0.31545,53.33,d8,1970-01-01 00:01:01+05:30,13.28773943065336,-0.014916557902177292,0,,normal,0,,normal,normal,0,0,0,0,0,0
